Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
308,Alec Burks,33,MIA,SG,36,4,637,72,177,.407,54,129,.419,18,48,.375,.559,31,41,.756,13,84,97,41,22,6,16,26,229,0,,burksal01
309,Nicolas Batum,36,LAC,PF,62,5,1091,75,182,.412,63,153,.412,12,29,.414,.585,15,18,.833,38,134,172,71,41,28,26,90,228,0,,batumni01
310,Jett Howard,21,ORL,SF,52,0,599,81,221,.367,49,160,.306,32,61,.525,.477,15,20,.750,20,42,62,40,13,10,26,55,226,0,,howarje01
311,Jabari Walker,22,POR,SF,48,1,568,86,171,.503,20,56,.357,66,115,.574,.561,34,52,.654,46,125,171,30,28,6,23,70,226,0,,walkeja01
312,Lindy Waters III,27,2TM,SG,44,9,684,80,217,.369,52,159,.327,28,58,.483,.488,8,11,.727,17,81,98,43,24,10,18,58,220,0,,waterli01
312,Lindy Waters III,27,GSW,SG,38,9,655,76,205,.371,49,148,.331,27,57,.474,.490,8,11,.727,16,81,97,42,22,10,17,55,209,0,,waterli01
312,Lindy Waters III,27,DET,SG,6,0,29,4,12,.333,3,11,.273,1,1,1.000,.458,0,0,,1,0,1,1,2,0,1,3,11,0,,waterli01
313,Josh Okogie,26,2TM,SG,32,2,500,79,167,.473,25,65,.385,54,102,.529,.548,37,51,.725,41,55,96,24,40,15,25,39,220,0,,okogijo01
313,Josh Okogie,26,PHO,SG,25,1,351,56,114,.491,16,42,.381,40,72,.556,.561,22,32,.688,32,40,72,14,21,10,16,28,150,0,,okogijo01
313,Josh Okogie,26,CHO,SG,7,1,149,23,53,.434,9,23,.391,14,30,.467,.519,15,19,.789,9,15,24,10,19,5,9,11,70,0,,okogijo01
314,Ajay Mitchell,22,OKC,SG,34,1,561,84,166,.506,22,51,.431,62,115,.539,.572,28,33,.848,17,50,67,57,24,3,28,59,218,0,,mitchaj01
315,Kris Murray,24,POR,SF,54,2,742,90,199,.452,21,81,.259,69,118,.585,.505,17,42,.405,54,68,122,46,23,12,28,47,218,0,,murrakr01
316,Isaac Okoro,24,CLE,SG,38,18,719,77,173,.445,40,102,.392,37,71,.521,.561,21,29,.724,32,52,84,53,21,15,15,73,215,0,,okorois01
317,Quinten Post,24,GSW,PF,26,9,410,79,172,.459,42,103,.408,37,69,.536,.581,14,17,.824,26,73,99,39,10,10,20,51,214,0,,postqu01
318,Bol Bol,25,PHO,PF,28,9,387,83,159,.522,27,82,.329,56,77,.727,.607,18,24,.750,18,79,97,18,6,23,16,17,211,0,,bolbo01
319,Rob Dillingham,20,MIN,PG,40,1,481,89,199,.447,25,70,.357,64,129,.496,.510,8,15,.533,12,34,46,94,18,1,48,36,211,0,,dilliro01
320,Andre Jackson Jr.,23,MIL,SG,56,43,901,85,182,.467,29,73,.397,56,109,.514,.547,10,18,.556,59,108,167,76,31,13,52,106,209,0,,jacksan01
321,Herbert Jones,26,NOP,SF,20,20,648,75,172,.436,22,72,.306,53,100,.530,.500,33,40,.825,22,56,78,65,37,9,35,66,205,0,,joneshe01
322,Larry Nance Jr.,32,ATL,PF,24,3,463,80,155,.516,34,76,.447,46,79,.582,.626,9,13,.692,23,80,103,38,20,13,16,37,203,0,,nancela02
323,Bruce Brown,28,2TM,PG,28,1,577,76,193,.394,13,51,.255,63,142,.444,.427,38,45,.844,27,78,105,47,28,3,26,46,203,0,,brownbr01
323,Bruce Brown,28,TOR,PG,18,0,353,57,131,.435,11,36,.306,46,95,.484,.477,26,29,.897,17,51,68,28,17,3,19,26,151,0,,brownbr01
323,Bruce Brown,28,NOP,PG,10,1,224,19,62,.306,2,15,.133,17,47,.362,.323,12,16,.750,10,27,37,19,11,0,7,20,52,0,,brownbr01
324,Ryan Rollins,22,MIL,PG,40,8,490,78,169,.462,26,72,.361,52,97,.536,.538,20,24,.833,16,49,65,51,28,13,33,53,202,0,,rolliry01
325,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,70,174,.402,12,51,.235,58,123,.472,.437,49,76,.645,44,82,126,40,26,6,14,28,201,0,,prospol01
326,Tosan Evbuomwan,23,BRK,SF,21,0,501,71,164,.433,16,55,.291,55,109,.505,.482,40,53,.755,25,60,85,33,16,7,31,39,198,0,,evbuoto01
327,Sandro Mamukelashvili,25,SAS,PF,41,0,353,70,134,.522,31,81,.383,39,53,.736,.638,24,33,.727,24,71,95,22,14,11,14,32,195,0,,mamuksa01
328,Monte Morris,29,PHO,PG,40,0,522,69,171,.404,22,73,.301,47,98,.480,.468,34,40,.850,10,47,57,66,17,3,17,21,194,0,,morrimo01
329,Jaylin Williams,22,OKC,PF,35,6,576,68,163,.417,41,115,.357,27,48,.563,.543,12,15,.800,40,151,191,86,16,23,24,56,189,1,,willija07
330,Cody Williams,20,UTA,SG,39,12,799,64,188,.340,27,93,.290,37,95,.389,.412,29,38,.763,24,64,88,50,19,12,35,70,184,0,,willico04
331,Tre Mann,23,CHO,PG,13,0,319,70,161,.435,24,60,.400,46,101,.455,.509,19,21,.905,12,26,38,39,7,4,25,24,183,0,,manntr01
332,Richaun Holmes,31,WAS,PF,24,7,430,71,106,.670,0,3,.000,71,103,.689,.670,39,47,.830,46,93,139,36,6,19,18,39,181,0,,holmeri01
333,Reed Sheppard,20,HOU,PG,45,1,536,65,196,.332,31,111,.279,34,85,.400,.411,13,16,.813,16,47,63,54,28,15,28,42,174,0,,sheppre01
334,Gui Santos,22,GSW,PF,39,1,534,60,127,.472,26,72,.361,34,55,.618,.575,24,33,.727,48,69,117,55,18,8,27,67,170,0,,santogu01
335,Grant Williams,26,CHO,PF,16,7,479,54,123,.439,27,74,.365,27,49,.551,.549,31,37,.838,18,64,82,37,18,13,28,46,166,0,,willigr01
336,GG Jackson II,20,MEM,PF,21,0,342,57,145,.393,25,73,.342,32,72,.444,.479,26,36,.722,20,45,65,22,6,5,26,24,165,0,,jacksgg01
337,KJ Simpson,22,CHO,PG,23,4,470,59,176,.335,16,74,.216,43,102,.422,.381,30,37,.811,28,38,66,60,19,4,32,35,164,0,,simpskj01
338,Daniel Theis,32,NOP,C,38,9,621,61,129,.473,9,37,.243,52,92,.565,.508,31,37,.838,44,120,164,60,18,20,25,70,162,0,,theisda01
339,Pelle Larsson,23,MIA,SG,40,2,513,57,128,.445,20,63,.317,37,65,.569,.523,26,39,.667,17,44,61,38,15,4,14,70,160,0,,larsspe01
340,Steven Adams,31,HOU,C,45,2,561,63,123,.512,0,1,.000,63,122,.516,.512,31,69,.449,116,112,228,55,16,21,39,44,157,0,,adamsst01
341,Charles Bassey,24,SAS,C,34,1,363,68,116,.586,0,0,,68,116,.586,.586,21,33,.636,56,95,151,17,14,29,23,47,157,0,,bassech01
342,Karlo Matković,23,NOP,PF,27,3,463,61,115,.530,12,37,.324,49,78,.628,.583,21,27,.778,41,81,122,26,13,28,25,63,155,0,,matkoka01
343,DeAndre Jordan,36,DEN,C,46,2,528,69,106,.651,0,0,,69,106,.651,.651,15,37,.405,64,150,214,36,12,20,33,56,153,0,,jordade01
344,Paul Reed,25,DET,C,36,0,337,60,111,.541,6,21,.286,54,90,.600,.568,27,34,.794,33,60,93,35,34,19,18,56,153,0,,reedpa01
345,Jae'Sean Tate,29,HOU,SF,42,2,478,56,124,.452,10,34,.294,46,90,.511,.492,29,43,.674,39,54,93,37,24,3,18,71,151,0,,tateja01
346,Adem Bona,21,PHI,C,44,1,504,56,84,.667,0,0,,56,84,.667,.667,34,53,.642,51,84,135,14,11,37,32,83,146,0,,bonaad01
347,Jordan Miller,25,LAC,SF,33,0,404,56,130,.431,8,37,.216,48,93,.516,.462,26,33,.788,23,35,58,33,17,5,24,24,146,0,,millejo02
348,Bones Hyland,24,LAC,PG,20,0,222,45,115,.391,31,80,.388,14,35,.400,.526,23,26,.885,5,19,24,28,18,4,24,26,144,0,,hylanbo01
349,Keaton Wallace,25,ATL,PG,27,3,424,54,127,.425,25,68,.368,29,59,.492,.524,11,11,1.000,6,30,36,56,22,8,28,32,144,0,,wallake01
350,Oso Ighodaro,22,PHO,PF,44,2,609,62,108,.574,0,2,.000,62,106,.585,.574,19,36,.528,35,99,134,41,18,15,23,62,143,0,,ighodos01
351,Malaki Branham,21,SAS,SG,37,0,305,51,119,.429,22,57,.386,29,62,.468,.521,17,20,.850,3,35,38,26,7,2,28,16,141,0,,branhma01
352,Ousmane Dieng,21,OKC,C,34,1,395,53,123,.431,23,71,.324,30,52,.577,.524,11,16,.688,17,62,79,30,17,7,18,32,140,0,,diengou01
353,David Roddy,23,2TM,PF,30,3,375,52,112,.464,18,54,.333,34,58,.586,.545,18,22,.818,13,66,79,33,14,8,21,19,140,0,,roddyda01
353,David Roddy,23,ATL,PF,27,3,346,44,93,.473,16,43,.372,28,50,.560,.559,18,22,.818,11,59,70,30,12,8,20,18,122,0,,roddyda01
353,David Roddy,23,PHI,PF,3,0,29,8,19,.421,2,11,.182,6,8,.750,.474,0,0,,2,7,9,3,2,0,1,1,18,0,,roddyda01
354,Zeke Nnaji,24,DEN,PF,43,3,428,55,103,.534,12,37,.324,43,66,.652,.592,17,29,.586,21,43,64,11,14,25,6,47,139,0,,nnajize01
355,Reggie Jackson,34,PHI,PG,31,1,384,52,133,.391,25,74,.338,27,59,.458,.485,7,9,.778,8,34,42,45,16,3,17,34,136,0,,jacksre01
356,Dante Exum,29,DAL,PG,15,9,292,49,106,.462,17,40,.425,32,66,.485,.542,20,28,.714,4,21,25,46,11,3,16,25,135,0,,exumda01
357,Terrence Shannon Jr.,24,MIN,SG,26,1,298,53,108,.491,11,30,.367,42,78,.538,.542,17,21,.810,10,32,42,27,6,5,14,22,134,0,,shannte01
358,Pat Connaughton,32,MIL,SG,31,0,459,50,116,.431,20,62,.323,30,54,.556,.517,13,17,.765,17,65,82,51,6,9,19,33,133,0,,connapa01
359,Kyle Lowry,38,PHI,PG,33,12,623,39,111,.351,28,83,.337,11,28,.393,.477,27,33,.818,11,54,65,93,31,10,20,61,133,0,,lowryky01
360,Brandon Williams,25,DAL,PG,23,1,264,47,96,.490,15,38,.395,32,58,.552,.568,24,29,.828,4,27,31,42,11,2,18,16,133,0,,willibr03
361,DaQuan Jeffries,27,CHO,SG,28,4,537,50,132,.379,20,73,.274,30,59,.508,.455,12,15,.800,24,53,77,30,16,11,17,53,132,0,,jeffrda01
362,Micah Potter,26,UTA,C,30,9,522,45,104,.433,28,77,.364,17,27,.630,.567,12,14,.857,33,89,122,23,10,11,22,39,130,0,,pottemi01
363,Orlando Robinson,24,2TM,C,29,3,397,48,114,.421,5,23,.217,43,91,.473,.443,28,36,.778,41,65,106,36,14,10,27,48,129,0,,robinor01
363,Orlando Robinson,24,SAC,C,9,0,57,7,17,.412,1,5,.200,6,12,.500,.441,4,7,.571,3,11,14,9,3,1,4,6,19,0,,robinor01
363,Orlando Robinson,24,TOR,C,20,3,340,41,97,.423,4,18,.222,37,79,.468,.443,24,29,.828,38,54,92,27,11,9,23,42,110,0,,robinor01
364,Mo Bamba,26,LAC,C,28,2,352,48,103,.466,15,50,.300,33,53,.623,.539,17,25,.680,26,94,120,16,9,28,19,49,128,0,,bambamo01
365,Antonio Reeves,24,NOP,SG,29,0,308,48,113,.425,22,61,.361,26,52,.500,.522,10,11,.909,12,20,32,23,10,2,11,15,128,0,,reevean01
366,Jeff Dowtin,27,PHI,PG,31,0,356,49,112,.438,12,33,.364,37,79,.468,.491,17,25,.680,6,32,38,48,10,5,6,17,127,0,,dowtije01
367,Jock Landale,29,HOU,C,32,1,343,49,106,.462,6,16,.375,43,90,.478,.491,23,34,.676,40,59,99,26,6,9,15,32,127,0,,landajo01
368,Kevin Love,36,MIA,PF,22,9,246,41,115,.357,24,67,.358,17,48,.354,.461,16,23,.696,22,72,94,22,15,4,14,20,122,0,,loveke01
369,Jaylon Tyson,22,CLE,SG,40,2,366,47,102,.461,14,39,.359,33,63,.524,.529,14,18,.778,30,49,79,38,9,2,19,43,122,0,,tysonja01
370,Jeff Green,38,HOU,PF,22,2,268,44,84,.524,17,50,.340,27,34,.794,.625,15,18,.833,8,28,36,10,5,4,6,20,120,0,,greenje02
371,Isaiah Wong,24,CHO,SG,20,0,265,41,105,.390,13,33,.394,28,72,.389,.452,25,34,.735,14,18,32,28,11,0,18,21,120,0,,wongis01
372,Caleb Houstan,22,ORL,SF,41,5,467,38,114,.333,32,99,.323,6,15,.400,.474,10,11,.909,13,27,40,16,8,3,5,39,118,0,,houstca01
373,Craig Porter Jr.,24,CLE,PG,40,0,352,47,85,.553,14,30,.467,33,55,.600,.635,10,13,.769,10,34,44,53,13,12,24,16,118,0,,portecr01
374,Trevelin Queen,27,ORL,SG,26,2,373,44,124,.355,16,65,.246,28,59,.475,.419,13,15,.867,20,22,42,33,25,10,20,36,117,0,,queentr01
375,Robert Williams,27,POR,C,20,3,351,50,78,.641,1,3,.333,49,75,.653,.647,15,17,.882,35,83,118,21,13,33,17,31,116,0,,williro04
376,Tristan Vukcevic,21,WAS,C,20,0,186,40,82,.488,13,41,.317,27,41,.659,.567,20,26,.769,12,41,53,16,5,7,15,23,113,0,,vukcetr01
377,Luka Garza,26,MIN,C,31,0,188,42,88,.477,7,31,.226,35,57,.614,.517,21,31,.677,30,19,49,8,6,3,10,27,112,0,,garzalu01
378,Doug McDermott,33,SAC,SF,34,3,277,38,88,.432,33,75,.440,5,13,.385,.619,3,5,.600,2,16,18,4,4,2,6,27,112,0,,mcderdo01
379,Landry Shamet,27,NYK,SG,31,0,353,44,94,.468,19,56,.339,25,38,.658,.569,5,9,.556,5,20,25,17,13,2,12,25,112,0,,shamela01
380,Blake Wesley,21,SAS,SG,39,0,319,43,92,.467,5,25,.200,38,67,.567,.495,18,27,.667,6,19,25,70,15,3,30,20,109,0,,weslebl01
381,Vince Williams Jr.,24,MEM,SG,14,2,261,41,99,.414,14,51,.275,27,48,.563,.485,13,18,.722,15,37,52,28,8,3,20,25,109,0,,willivi01
382,Jaylen Clark,23,MIN,SG,24,4,359,38,84,.452,17,39,.436,21,45,.467,.554,14,18,.778,17,14,31,14,24,1,4,45,107,0,,clarkja02
383,Jevon Carter,29,CHI,PG,29,0,225,37,94,.394,24,68,.353,13,26,.500,.521,8,10,.800,2,26,28,30,9,2,9,11,106,0,,carteje01
384,Kessler Edwards,24,DAL,SF,34,12,444,43,97,.443,14,40,.350,29,57,.509,.515,5,5,1.000,17,65,82,37,15,15,11,44,105,0,,edwarke02
385,Jalen Pickett,25,DEN,SG,31,0,340,42,95,.442,19,50,.380,23,45,.511,.542,2,2,1.000,5,30,35,55,7,3,12,18,105,0,,pickeja02
386,Quenton Jackson,26,IND,PG,19,7,267,40,80,.500,9,25,.360,31,55,.564,.556,15,21,.714,11,18,29,34,10,5,13,33,104,0,,jacksqu01
387,Maxi Kleber,33,DAL,PF,34,4,637,37,96,.385,13,49,.265,24,47,.511,.453,16,21,.762,25,70,95,43,9,17,23,66,103,0,,klebima01
388,Cam Reddish,25,LAL,SF,31,8,560,37,86,.430,13,45,.289,24,41,.585,.506,16,26,.615,15,47,62,22,31,10,12,43,103,0,,reddica01
389,Duop Reath,28,POR,C,33,0,244,35,87,.402,19,62,.306,16,25,.640,.511,12,14,.857,16,28,44,13,7,7,9,21,101,0,,reathdu01
390,Gary Harris,30,ORL,SG,32,2,493,34,94,.362,23,72,.319,11,22,.500,.484,6,10,.600,16,24,40,17,18,8,12,30,97,0,,harriga01
391,Isaac Jones,24,SAC,PF,27,0,229,41,61,.672,1,4,.250,40,57,.702,.680,14,26,.538,14,24,38,8,3,8,12,27,97,0,,jonesis01
392,Mouhamed Gueye,22,ATL,PF,16,12,256,38,90,.422,10,45,.222,28,45,.622,.478,10,13,.769,11,39,50,11,16,16,8,28,96,0,,gueyemo02
393,Marvin Bagley III,25,2TM,PF,21,1,183,39,73,.534,3,12,.250,36,61,.590,.555,15,23,.652,27,31,58,7,7,5,11,13,96,0,,baglema01
393,Marvin Bagley III,25,WAS,C,19,1,166,38,71,.535,2,10,.200,36,61,.590,.549,15,23,.652,27,29,56,7,7,5,11,12,93,0,,baglema01
393,Marvin Bagley III,25,MEM,PF,2,0,17,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,2,2,0,0,0,0,1,3,0,,baglema01
394,Wendell Moore Jr.,23,2TM,SG,25,1,304,35,78,.449,7,21,.333,28,57,.491,.494,15,17,.882,21,42,63,26,11,4,13,21,92,0,,moorewe01
394,Wendell Moore Jr.,23,DET,SG,20,1,219,23,50,.460,4,14,.286,19,36,.528,.500,13,14,.929,11,33,44,23,10,3,9,15,63,0,,moorewe01
394,Wendell Moore Jr.,23,CHO,SG,5,0,85,12,28,.429,3,7,.429,9,21,.429,.482,2,3,.667,10,9,19,3,1,1,4,6,29,0,,moorewe01
395,Jamal Cain,25,NOP,SF,26,0,304,30,77,.390,14,45,.311,16,32,.500,.481,15,24,.625,20,35,55,16,13,7,12,28,89,0,,cainja01
396,Rayan Rupert,20,POR,SG,41,0,307,32,82,.390,10,37,.270,22,45,.489,.451,15,20,.750,21,25,46,18,8,2,19,24,89,0,,ruperra01
397,Jericho Sims,26,2TM,C,49,5,578,40,64,.625,0,0,,40,64,.625,.625,8,13,.615,65,113,178,30,9,17,31,59,88,0,,simsje01
397,Jericho Sims,26,NYK,C,39,5,422,28,46,.609,0,0,,28,46,.609,.609,8,13,.615,51,78,129,22,8,10,21,46,64,0,,simsje01
397,Jericho Sims,26,MIL,C,10,0,156,12,18,.667,0,0,,12,18,.667,.667,0,0,,14,35,49,8,1,7,10,13,24,0,,simsje01
398,Dru Smith,27,MIA,SG,14,1,268,31,61,.508,16,30,.533,15,31,.484,.639,9,12,.750,12,24,36,23,21,6,17,30,87,0,,smithdr01
399,Dillon Jones,23,OKC,SF,38,0,351,32,94,.340,10,49,.204,22,45,.489,.394,11,20,.550,23,54,77,38,8,3,15,37,85,0,,jonesdi01
400,Josh Minott,22,MIN,SF,37,0,232,33,74,.446,8,33,.242,25,41,.610,.500,11,13,.846,9,28,37,14,13,12,9,28,85,0,,minotjo01
401,Hunter Tyson,24,DEN,PF,42,0,311,27,74,.365,15,49,.306,12,25,.480,.466,16,23,.696,14,46,60,14,5,5,13,37,85,0,,tysonhu01
402,Torrey Craig,34,2TM,SF,15,2,175,30,61,.492,19,45,.422,11,16,.688,.648,6,8,.750,16,21,37,8,2,5,1,20,85,0,,craigto01
402,Torrey Craig,34,CHI,SF,9,1,113,22,45,.489,15,35,.429,7,10,.700,.656,3,4,.750,8,17,25,5,2,1,0,15,62,0,,craigto01
402,Torrey Craig,34,BOS,SF,6,1,62,8,16,.500,4,10,.400,4,6,.667,.625,3,4,.750,8,4,12,3,0,4,1,5,23,0,,craigto01
403,Devin Carter,22,SAC,PG,20,0,194,28,75,.373,11,37,.297,17,38,.447,.447,17,26,.654,10,36,46,24,5,3,9,16,84,0,,cartede02
404,Patty Mills,36,2TM,PG,22,0,286,29,85,.341,20,66,.303,9,19,.474,.459,6,7,.857,3,18,21,24,13,3,17,18,84,0,,millspa02
404,Patty Mills,36,UTA,PG,17,0,260,26,76,.342,17,57,.298,9,19,.474,.454,5,5,1.000,3,18,21,21,12,3,16,12,74,0,,millspa02
404,Patty Mills,36,LAC,PG,5,0,26,3,9,.333,3,9,.333,0,0,,.500,1,2,.500,0,0,0,3,1,0,1,6,10,0,,millspa02
405,Kai Jones,24,2TM,C,29,0,242,35,46,.761,0,2,.000,35,44,.795,.761,12,16,.750,17,37,54,10,6,14,11,25,82,0,,joneska01
405,Kai Jones,24,LAC,C,28,0,208,26,36,.722,0,2,.000,26,34,.765,.722,9,12,.750,15,31,46,10,6,13,10,23,61,0,,joneska01
405,Kai Jones,24,DAL,C,1,0,34,9,10,.900,0,0,,9,10,.900,.900,3,4,.750,2,6,8,0,0,1,1,2,21,0,,joneska01
406,Trey Jemison,25,2TM,C,30,0,320,35,64,.547,0,0,,35,64,.547,.547,12,31,.387,35,49,84,14,8,12,16,59,82,0,,jemistr01
406,Trey Jemison,25,NOP,C,16,0,166,15,32,.469,0,0,,15,32,.469,.469,8,21,.381,22,22,44,10,7,6,10,27,38,0,,jemistr01
406,Trey Jemison,25,LAL,C,14,0,154,20,32,.625,0,0,,20,32,.625,.625,4,10,.400,13,27,40,4,1,6,6,32,44,0,,jemistr01
407,John Konchar,28,MEM,SG,33,4,420,30,72,.417,16,50,.320,14,22,.636,.528,5,6,.833,29,83,112,31,16,12,14,26,81,0,,konchjo01
408,Damion Baugh,24,CHO,SG,10,1,254,31,89,.348,9,41,.220,22,48,.458,.399,9,11,.818,7,18,25,38,13,1,18,16,80,0,,baughda01
409,Johnny Davis,22,WAS,SG,34,0,242,32,78,.410,7,29,.241,25,49,.510,.455,9,15,.600,10,28,38,11,15,6,7,18,80,0,,davisjo06
410,Taj Gibson,39,CHO,C,27,11,306,34,70,.486,1,2,.500,33,68,.485,.493,11,16,.688,41,55,96,16,8,12,20,43,80,0,,gibsota01
411,Pat Spencer,28,GSW,PG,30,0,205,33,84,.393,2,17,.118,31,67,.463,.405,11,15,.733,15,27,42,38,11,3,15,17,79,0,,spencpa01
412,Moses Brown,25,2TM,C,13,2,119,34,49,.694,0,0,,34,49,.694,.694,8,11,.727,12,32,44,2,6,4,11,17,76,0,,brownmo01
412,Moses Brown,25,IND,C,9,0,46,13,20,.650,0,0,,13,20,.650,.650,3,5,.600,4,9,13,0,2,1,6,6,29,0,,brownmo01
412,Moses Brown,25,DAL,C,4,2,73,21,29,.724,0,0,,21,29,.724,.724,5,6,.833,8,23,31,2,4,3,5,11,47,0,,brownmo01
413,Cory Joseph,33,ORL,PG,35,1,278,26,72,.361,18,52,.346,8,20,.400,.486,4,6,.667,6,21,27,31,12,3,12,22,74,0,,josepco01
414,Jarred Vanderbilt,25,LAL,PF,18,1,298,29,60,.483,7,22,.318,22,38,.579,.542,9,19,.474,34,66,100,20,19,6,12,35,74,0,,vandeja01
415,Anthony Gill,32,WAS,PF,39,0,218,23,45,.511,6,16,.375,17,29,.586,.578,19,30,.633,6,26,32,7,6,2,6,18,71,0,,gillan01
416,Lonnie Walker IV,26,PHI,SG,8,0,162,24,66,.364,14,42,.333,10,24,.417,.470,9,9,1.000,3,24,27,14,4,3,9,7,71,0,,walkelo01
417,Bismack Biyombo,32,SAS,C,11,10,195,33,49,.673,0,0,,33,49,.673,.673,4,13,.308,19,40,59,12,7,10,10,22,70,0,,biyombi01
418,Dwight Powell,33,DAL,C,40,2,343,24,33,.727,1,1,1.000,23,32,.719,.742,20,31,.645,33,50,83,34,12,19,12,50,69,0,,poweldw01
419,Delon Wright,32,2TM,PG,29,2,418,23,84,.274,12,50,.240,11,34,.324,.345,11,20,.550,15,32,47,50,24,10,14,17,69,0,,wrighde01
419,Delon Wright,32,MIL,PG,26,2,405,22,82,.268,12,49,.245,10,33,.303,.341,9,16,.563,15,31,46,48,23,9,14,17,65,0,,wrighde01
419,Delon Wright,32,NYK,PG,3,0,13,1,2,.500,0,1,.000,1,1,1.000,.500,2,4,.500,0,1,1,2,1,1,0,0,4,0,,wrighde01
420,Jordan Walsh,20,BOS,PF,42,1,340,24,64,.375,13,43,.302,11,21,.524,.477,7,12,.583,19,35,54,16,10,9,11,26,68,0,,walshjo01
